273	3	0
533	5	1
814	4	0
1071	2	0
1338	0	0
1599	1	1
1880	5	0
2133	2	1
2393	4	1
2656	1	0
2932	0	1
3197	6	1
3453	3	1
3717	0	0
3990	5	0
4250	2	0
4521	3	0
4782	1	0
5044	4	0
5312	0	1
5577	1	1
5845	2	1
6126	3	1
6383	4	1
6646	5	1
6910	6	1
7196	3	0
7438	4	1
7708	1	0
7969	2	0
8252	0	0
8507	1	1
8776	4	0
9034	2	1
9317	6	1
9570	5	0
9836	3	1
10097	0	1
10380	5	1
10636	0	0
10890	4	0
11156	2	0
11445	3	0
11688	5	0
11963	1	0
12220	3	1
12505	1	1
12751	2	1
13027	5	1
13284	6	1
13568	4	1
13818	0	1
14085	3	0
14344	6	1
14628	5	0
14883	2	0
15147	0	0
15409	1	1
15690	1	0
15937	2	1
16214	0	1
16469	4	0
16757	5	1
17010	3	1
17274	4	1
17534	0	0
17814	1	0
18079	2	0
18332	3	0
18594	4	0
18879	5	0
19145	5	1
19401	1	1
19657	2	1
19943	4	1
20215	0	1
20464	6	1
20722	3	1
