iter	Logloss
0	0.6891763929
1	0.6858213863
2	0.6829160229
3	0.6800747503
4	0.6767638605
5	0.6738202048
6	0.6713402917
7	0.6686807895
8	0.6662713783
9	0.6636351738
10	0.6610888894
11	0.6586824671
12	0.6556684503
13	0.6535468514
14	0.6508096258
15	0.6489033496
16	0.6469156213
17	0.6440483706
18	0.6419018329
19	0.6396971909
20	0.6373343862
21	0.6347704711
22	0.6324326602
23	0.6301093668
24	0.6278965866
25	0.6257247729
26	0.6237789088
27	0.6219416365
28	0.6201257575
29	0.6177952039
30	0.6158945645
31	0.614348533
32	0.6125067777
33	0.6106794784
34	0.6088477383
35	0.6068437027
36	0.6047061174
37	0.6031949567
38	0.6010687287
39	0.5986796421
40	0.5966628144
41	0.5950926019
42	0.5935182847
43	0.5917608568
44	0.5901227263
45	0.5884510256
46	0.5865087426
47	0.5852229815
48	0.5835871677
49	0.5818714673
50	0.5798745622
51	0.5787455263
52	0.5774023959
53	0.5755591706
54	0.574336913
55	0.5732574949
56	0.5718168162
57	0.5707305938
58	0.5691614989
59	0.5682002028
60	0.5668646656
61	0.5654278594
62	0.5638846383
63	0.5627850959
64	0.5609143008
65	0.5592812678
66	0.5576005481
67	0.5565435293
68	0.5551693185
69	0.5537058556
70	0.5524301088
71	0.5510973851
72	0.5497658682
73	0.5487697116
74	0.5473400803
75	0.5460016156
76	0.5446255126
77	0.5435285502
78	0.5422786029
79	0.5413922433
80	0.5402452118
81	0.5391460949
82	0.5381548227
83	0.5369270469
84	0.5357588838
85	0.5343982799
86	0.533384217
87	0.5322520623
88	0.5307132072
89	0.5297059157
90	0.5285260937
91	0.5276282358
92	0.5266103457
93	0.5255620032
94	0.5244794943
95	0.5231963529
96	0.5221927055
97	0.5211242199
98	0.5196898185
99	0.5187294859
100	0.5175105114
101	0.5167499873
102	0.5159335353
103	0.5148937425
104	0.5135254648
105	0.512740586
106	0.511610411
107	0.5108595044
108	0.5098368269
109	0.5087455978
110	0.5076975864
111	0.5065475674
112	0.5055603092
113	0.5047844933
114	0.5037126874
115	0.5027610361
116	0.501785803
117	0.5009866231
118	0.5000757563
119	0.4991380679
120	0.4979665759
121	0.4974585549
122	0.4966809999
123	0.4958643895
124	0.4949898762
125	0.4941616106
126	0.4935112891
127	0.4926206518
128	0.4914446825
129	0.490462585
130	0.4896130088
131	0.4888215399
132	0.4882410846
133	0.4875082514
134	0.4866778473
135	0.4856482494
136	0.484620117
137	0.4838316352
138	0.4830407388
139	0.4824176547
140	0.4814259213
141	0.4805651019
142	0.4798848666
143	0.4789334271
144	0.4779508973
145	0.4771901242
146	0.4765151554
147	0.4753230092
148	0.474479502
149	0.4737740857
150	0.4730132982
151	0.4720204169
152	0.4711818189
153	0.4703623409
154	0.4696171046
155	0.468950506
156	0.4682190312
157	0.4675023187
158	0.4667808101
159	0.4659176959
160	0.4651946567
161	0.464452005
162	0.4634528104
163	0.4628312161
164	0.462263067
165	0.4611570205
166	0.4602034577
167	0.4595937818
168	0.4589835297
169	0.4582883246
170	0.4574263043
171	0.4566029431
172	0.4559547935
173	0.4553534484
174	0.4547939995
175	0.4539703892
176	0.4533794982
177	0.4526106331
178	0.452067225
179	0.4511028283
180	0.4503126434
181	0.4497940403
182	0.4490513076
183	0.4482030241
184	0.447535006
185	0.4467654643
186	0.4461444051
187	0.4454352621
188	0.4448267981
189	0.4442083176
190	0.443586243
191	0.4429692495
192	0.4423865037
193	0.4416973905
194	0.4410584935
195	0.4403451318
196	0.439823847
197	0.4391707126
198	0.4384593707
199	0.4375946057
200	0.4369915747
201	0.4363731673
202	0.4357804979
203	0.4350756684
204	0.4343883499
205	0.4338750669
206	0.4331922645
207	0.4326703066
208	0.4318670682
209	0.4309871259
210	0.4304597812
211	0.4298243275
212	0.4291564175
213	0.4284637654
214	0.4277638504
215	0.4273144117
216	0.4266889344
217	0.4261361655
218	0.4254866222
219	0.4248184002
220	0.4240215661
221	0.4232984061
222	0.4227349413
223	0.4221637653
224	0.4215847447
225	0.4209905085
226	0.4204880238
227	0.419970662
228	0.4195226129
229	0.4188774717
230	0.4179020189
231	0.4174309034
232	0.4167886586
233	0.4160794952
234	0.4155813447
235	0.4150049062
236	0.4144958214
237	0.4137618721
238	0.413261959
239	0.4128127597
240	0.412303228
241	0.4116958081
242	0.4112632682
243	0.4105246
244	0.4099287203
245	0.4094218877
246	0.4088924705
247	0.4082983472
248	0.4075366597
249	0.406983462
250	0.4065019522
251	0.4058324648
252	0.4050967705
253	0.4045686343
254	0.40393667
255	0.4033960443
256	0.402926246
257	0.4025186519
258	0.4021153973
259	0.4013418177
260	0.4007527622
261	0.4001285164
262	0.3994666306
263	0.3989864582
264	0.3983369963
265	0.3979133788
266	0.3974495509
267	0.396878585
268	0.396277698
269	0.3957626896
270	0.3954241869
271	0.3946932252
272	0.394142188
273	0.3934929426
274	0.3931235153
275	0.3926859145
276	0.3922735357
277	0.3918652104
278	0.3913804803
279	0.3908412767
280	0.3903535348
281	0.3899901089
282	0.3895388279
283	0.3889933476
284	0.388482579
285	0.3878946902
286	0.3874173082
287	0.3867961871
288	0.3862868948
289	0.3856931151
290	0.3852305086
291	0.3846760063
292	0.3841903972
293	0.3836434602
294	0.3830513183
295	0.3827154237
296	0.3820382394
297	0.3816425383
298	0.3812243574
299	0.3808955684
300	0.3801557933
301	0.3798142319
302	0.3793474293
303	0.3788375739
304	0.3781689165
305	0.3776153876
306	0.3770095836
307	0.3763514798
308	0.3757410851
309	0.3751971124
310	0.374668388
311	0.3742850836
312	0.3736530502
313	0.3731718241
314	0.3727392377
315	0.372171347
316	0.3713823971
317	0.3709349911
318	0.3705011481
319	0.3699423051
320	0.3693601515
321	0.368893226
322	0.36836807
323	0.3678660946
324	0.3673864862
325	0.366790603
326	0.3662491519
327	0.3655427351
328	0.3649670147
329	0.3643882133
330	0.3638191949
331	0.363484773
332	0.3631640044
333	0.3626928231
334	0.3621562112
335	0.3615735165
336	0.3610625293
337	0.3606950964
338	0.3602013703
339	0.3597972543
340	0.3594035147
341	0.3588609337
342	0.3584844266
343	0.3579082086
344	0.3573727768
345	0.3568895697
346	0.3562557077
347	0.3558334316
348	0.3553695719
349	0.3547455131
350	0.3541654406
351	0.3537039271
352	0.3533686522
353	0.3528881723
354	0.3523799235
355	0.3519182687
356	0.3514332381
357	0.3510309642
358	0.3505847398
359	0.3501454175
360	0.3495898087
361	0.3489989127
362	0.3485457802
363	0.3482810804
364	0.3479562308
365	0.3476032995
366	0.3471295875
367	0.3467177325
368	0.3463335994
369	0.3459320789
370	0.3453473943
371	0.3448904281
372	0.3444915173
373	0.3442156944
374	0.3437311545
375	0.343393483
376	0.3427447999
377	0.3422836824
378	0.3416622142
379	0.3413432864
380	0.3408850563
381	0.3404641489
382	0.3401945011
383	0.3396371036
384	0.3392505655
385	0.3388991574
386	0.3383966118
387	0.3379890133
388	0.3374338391
389	0.3369756413
390	0.3365997326
391	0.336169487
392	0.3357385843
393	0.3353357269
394	0.3347952266
395	0.334056512
396	0.3337594396
397	0.3333391675
398	0.3330967076
399	0.3325846971
400	0.3320856891
401	0.3315215959
402	0.3310639946
403	0.3306778596
404	0.3302261088
405	0.3297559009
406	0.3291808526
407	0.328905073
408	0.3285454904
409	0.3281730222
410	0.3276067549
411	0.3273818877
412	0.3269588901
413	0.3264452717
414	0.325989656
415	0.3255561404
416	0.3251173103
417	0.3248275804
418	0.324522361
419	0.324020578
420	0.3236164238
421	0.3232702454
422	0.3229911756
423	0.3223839881
424	0.3221133949
425	0.3218139242
426	0.3213826293
427	0.3210932983
428	0.3206150705
429	0.3203390805
430	0.319957044
431	0.3194792966
432	0.3191869824
433	0.3187466584
434	0.3182341307
435	0.3178683457
436	0.3176345927
437	0.3172621914
438	0.3169091407
439	0.3163946334
440	0.315871442
441	0.3155162051
442	0.3151140155
443	0.3147143066
444	0.314270284
445	0.3138167951
446	0.3134280957
447	0.3129673634
448	0.3125512622
449	0.3123021395
450	0.3119094054
451	0.3114520016
452	0.3110784856
453	0.3107139394
454	0.3102814835
455	0.3099844903
456	0.3096212872
457	0.309137921
458	0.3088007876
459	0.308206798
460	0.3078106943
461	0.3072629906
462	0.3069565604
463	0.3067283154
464	0.3063155796
465	0.3058313427
466	0.3056107758
467	0.3053507796
468	0.3049726072
469	0.3045212298
470	0.3041862822
471	0.3037080657
472	0.303393607
473	0.3030039815
474	0.3024782632
475	0.3021593059
476	0.3018064087
477	0.3012709862
478	0.3008743547
479	0.3003444254
480	0.3000492629
481	0.2997572467
482	0.2994387711
483	0.2990714785
484	0.2986347094
485	0.2983423239
486	0.2978943428
487	0.2974086959
488	0.2970106758
489	0.2966811748
490	0.2962145082
491	0.2959472368
492	0.2955655135
493	0.295243538
494	0.2948127631
495	0.2943303316
496	0.293827942
497	0.2933933295
498	0.2930650105
499	0.2927545185
500	0.2923939546
501	0.2919812188
502	0.2913413157
503	0.2910303806
504	0.2906654526
505	0.2900614324
506	0.2896891686
507	0.2892955675
508	0.2888944349
509	0.2884737827
510	0.2879767548
511	0.287552368
512	0.2870273052
513	0.2865209109
514	0.2861268217
515	0.285651736
516	0.2853149635
517	0.2850261064
518	0.28458458
519	0.2842481846
520	0.2839554221
521	0.2835264451
522	0.2832003199
523	0.2827819371
524	0.2822672026
525	0.2819458431
526	0.2815239273
527	0.2812837895
528	0.2807372228
529	0.2802180251
530	0.2798262337
531	0.279373766
532	0.2790172807
533	0.2785819111
534	0.2782705542
535	0.2778131171
536	0.277327053
537	0.2770662567
538	0.2767934185
539	0.2763731772
540	0.2760030492
541	0.2756421581
542	0.2752878185
543	0.2749720074
544	0.2746782729
545	0.2743468899
546	0.2739000827
547	0.2734753156
548	0.2730679047
549	0.2727214249
550	0.2722281625
551	0.2716079669
552	0.2713586936
553	0.2708645205
554	0.2705679495
555	0.2703212914
556	0.2698095948
557	0.2693352313
558	0.2687732658
559	0.2683826881
560	0.2679000566
561	0.2674950316
562	0.2672805942
563	0.2669107102
564	0.2665651952
565	0.2662813382
566	0.265837506
567	0.2653847558
568	0.2650026781
569	0.2646117838
570	0.2642388964
571	0.2638093366
572	0.2633794014
573	0.2629428312
574	0.262535709
575	0.2622677218
576	0.2617718051
577	0.2614831106
578	0.2610417285
579	0.2607326826
580	0.2603688194
581	0.2597235436
582	0.2594263933
583	0.259062593
584	0.2587537239
585	0.2583643228
586	0.2580762477
587	0.2576580137
588	0.2572163793
589	0.2569870984
590	0.2565560704
591	0.2562859084
592	0.2559211652
593	0.2556016402
594	0.2552326423
595	0.254913706
596	0.254433414
597	0.2540152676
598	0.2535681137
599	0.2531693215
600	0.252584277
601	0.2521149079
602	0.2518202762
603	0.2514688291
604	0.2510142951
605	0.2504876091
606	0.2502493395
607	0.2498314927
608	0.2495730655
609	0.2491275831
610	0.2488659135
611	0.2485775427
612	0.2482253059
613	0.247881876
614	0.2474982515
615	0.2471392152
616	0.2467901619
617	0.2463726355
618	0.2460857039
619	0.2455619422
620	0.2452440985
621	0.2448783345
622	0.2443368069
623	0.2439360499
624	0.2435465203
625	0.2433362764
626	0.2430048252
627	0.2428405322
628	0.2423876231
629	0.2420262429
630	0.2415599763
631	0.2410732415
632	0.2408481057
633	0.2404793123
634	0.2399869039
635	0.2397142536
636	0.2392533223
637	0.2389075129
638	0.2385401364
639	0.2382509684
640	0.237949969
641	0.2376254691
642	0.2372909372
643	0.2369762729
644	0.2365907083
645	0.2361803922
646	0.2358268194
647	0.235543625
648	0.2351388388
649	0.2347617643
650	0.2343715281
651	0.2339357236
652	0.2335245846
653	0.2331308087
654	0.23278065
655	0.2324875904
656	0.2321217401
657	0.231732013
658	0.2313419128
659	0.2309006177
660	0.2306513401
661	0.2301899853
662	0.2297737926
663	0.2292397174
664	0.2288381364
665	0.2284907066
666	0.2281681349
667	0.2277358255
668	0.2273316217
669	0.2268729532
670	0.2263694079
671	0.2259612771
672	0.2257239548
673	0.22522413
674	0.224828717
675	0.2243487674
676	0.2239263258
677	0.2236110156
678	0.2233242793
679	0.2228669074
680	0.2224531654
681	0.2220872103
682	0.2217687281
683	0.2214686268
684	0.2211811494
685	0.2208312103
686	0.2205432068
687	0.2201658385
688	0.2199470342
689	0.219505821
690	0.2190794717
691	0.2186244084
