iter	Passed	Remaining
403	9208	13584
404	9230	13561
405	9252	13537
406	9275	13515
407	9298	13491
408	9320	13468
409	9344	13446
410	9367	13424
411	9389	13400
412	9411	13377
413	9434	13354
414	9456	13330
415	9479	13307
416	9502	13284
417	9525	13262
418	9548	13240
419	9571	13217
420	9593	13193
421	9615	13170
422	9637	13146
423	9660	13123
424	9682	13100
425	9704	13076
426	9727	13053
427	9749	13030
428	9772	13007
429	9797	12987
430	9820	12965
431	9844	12943
432	9867	12921
433	9890	12898
434	9912	12875
435	9935	12852
436	9958	12829
437	9981	12806
438	10003	12783
439	10026	12760
440	10048	12737
441	10070	12713
442	10093	12690
443	10115	12667
444	10138	12644
445	10161	12621
446	10183	12598
447	10206	12575
448	10228	12552
449	10251	12529
450	10274	12506
451	10296	12482
452	10318	12459
453	10341	12437
454	10365	12415
455	10387	12392
456	10410	12369
457	10433	12347
458	10456	12324
459	10478	12301
460	10501	12278
461	10524	12255
462	10546	12231
463	10568	12208
464	10590	12185
465	10613	12161
466	10635	12138
467	10658	12115
468	10680	12092
469	10703	12069
470	10725	12046
471	10748	12023
472	10770	12000
473	10795	11979
474	10818	11956
475	10841	11934
476	10865	11913
477	10888	11890
478	10910	11867
479	10933	11844
480	10955	11821
481	10977	11797
482	11001	11775
483	11023	11752
484	11045	11728
485	11067	11705
486	11091	11683
487	11113	11660
488	11136	11637
489	11159	11614
490	11181	11591
491	11203	11568
492	11226	11545
493	11249	11522
494	11271	11499
495	11294	11477
496	11317	11454
497	11340	11431
498	11364	11410
499	11387	11387
500	11410	11364
501	11434	11343
502	11457	11320
503	11480	11298
504	11502	11274
505	11524	11251
506	11548	11229
507	11570	11206
508	11592	11183
509	11615	11160
510	11638	11137
511	11661	11114
512	11683	11091
513	11706	11068
514	11728	11045
515	11751	11022
516	11775	11001
517	11798	10978
518	11821	10955
519	11844	10933
520	11867	10910
521	11890	10887
522	11912	10865
523	11935	10842
524	11957	10818
525	11980	10795
526	12003	10773
527	12025	10749
528	12047	10726
529	12070	10703
530	12092	10680
531	12114	10657
532	12137	10634
533	12160	10611
534	12182	10588
535	12205	10565
536	12227	10542
537	12251	10520
538	12273	10497
539	12296	10474
540	12318	10451
541	12341	10428
542	12365	10406
543	12388	10384
544	12410	10361
545	12433	10338
546	12455	10315
547	12478	10292
548	12500	10269
549	12523	10246
550	12545	10223
551	12568	10200
552	12591	10177
553	12614	10155
554	12637	10132
555	12659	10109
556	12681	10085
557	12703	10062
558	12726	10039
559	12749	10017
560	12772	9994
561	12797	9973
562	12819	9950
563	12842	9927
564	12867	9906
565	12890	9884
566	12913	9861
567	12935	9838
568	12959	9816
569	12982	9793
570	13004	9770
571	13027	9747
572	13049	9724
573	13072	9701
574	13094	9678
575	13116	9655
576	13138	9632
577	13161	9609
578	13183	9586
579	13206	9563
580	13228	9540
581	13251	9517
582	13273	9493
583	13295	9470
584	13317	9447
585	13339	9424
586	13364	9402
587	13388	9380
588	13410	9358
589	13433	9335
590	13456	9312
591	13478	9289
592	13501	9266
593	13523	9243
594	13545	9220
595	13569	9197
596	13591	9174
597	13613	9151
598	13635	9128
599	13658	9105
600	13681	9082
601	13704	9060
602	13727	9037
603	13750	9014
604	13772	8992
605	13795	8969
606	13817	8946
607	13840	8923
608	13863	8901
609	13888	8879
610	13910	8856
611	13932	8833
612	13955	8810
613	13978	8787
614	14001	8765
615	14024	8742
616	14047	8719
617	14069	8696
618	14092	8674
619	14115	8651
620	14137	8628
621	14160	8605
622	14182	8582
623	14205	8559
624	14227	8536
625	14250	8514
626	14273	8491
627	14295	8467
628	14318	8445
629	14340	8422
630	14363	8399
631	14387	8377
632	14410	8354
633	14433	8332
634	14456	8309
635	14479	8286
636	14501	8263
637	14524	8240
638	14546	8217
639	14568	8195
640	14591	8172
641	14614	8149
642	14636	8126
643	14659	8103
644	14681	8080
645	14704	8057
646	14726	8034
647	14749	8012
648	14774	7990
649	14796	7967
650	14819	7944
651	14841	7921
652	14865	7899
653	14888	7876
654	14912	7854
655	14935	7832
656	14958	7809
657	14981	7786
658	15003	7763
659	15026	7741
660	15049	7718
661	15071	7695
662	15094	7672
663	15117	7649
664	15139	7626
665	15161	7603
666	15184	7580
667	15206	7557
668	15229	7534
669	15251	7512
670	15274	7489
671	15297	7466
672	15319	7443
673	15342	7420
674	15365	7398
675	15389	7376
676	15412	7353
677	15435	7330
678	15458	7307
679	15480	7285
680	15503	7262
681	15526	7239
682	15549	7216
683	15571	7193
684	15593	7170
685	15615	7147
686	15638	7125
687	15660	7102
688	15684	7079
689	15707	7056
690	15729	7033
691	15752	7011
692	15776	6989
693	15799	6966
694	15821	6943
695	15844	6920
696	15867	6897
697	15891	6875
698	15914	6853
699	15938	6830
700	15961	6807
701	15983	6785
702	16005	6761
703	16027	6738
704	16050	6716
705	16073	6693
706	16095	6670
707	16118	6647
708	16141	6624
709	16163	6601
710	16186	6579
711	16208	6556
712	16231	6533
713	16253	6510
714	16275	6487
715	16298	6464
716	16320	6441
717	16343	6418
718	16365	6396
719	16389	6373
720	16412	6351
721	16436	6328
722	16459	6305
723	16481	6283
724	16504	6260
725	16527	6237
726	16549	6214
727	16572	6191
728	16595	6169
729	16617	6146
730	16640	6123
731	16663	6100
732	16686	6078
733	16709	6055
734	16732	6032
735	16755	6009
736	16778	5987
737	16801	5964
738	16824	5942
739	16846	5918
740	16869	5896
741	16893	5874
742	16916	5851
743	16939	5828
744	16962	5805
745	16985	5783
746	17009	5760
747	17031	5737
748	17053	5714
749	17075	5691
750	17098	5669
751	17120	5646
752	17144	5623
753	17168	5601
754	17190	5578
755	17212	5555
756	17235	5532
757	17258	5509
758	17281	5487
759	17304	5464
760	17326	5441
761	17349	5418
762	17372	5396
763	17395	5373
764	17419	5351
765	17442	5328
766	17464	5305
767	17488	5282
768	17510	5260
769	17533	5237
770	17556	5214
771	17578	5191
772	17601	5168
773	17624	5146
774	17647	5123
775	17670	5100
776	17692	5077
777	17715	5055
778	17740	5032
779	17763	5010
780	17788	4988
781	17811	4965
782	17833	4942
783	17856	4919
784	17878	4896
785	17902	4874
786	17927	4852
787	17950	4829
788	17973	4806
789	17996	4783
790	18019	4761
791	18041	4738
792	18064	4715
793	18087	4692
794	18110	4670
795	18133	4647
796	18155	4624
797	18179	4601
798	18201	4578
799	18224	4556
800	18247	4533
801	18269	4510
802	18292	4487
803	18315	4464
804	18337	4442
805	18360	4419
806	18383	4396
807	18407	4374
808	18432	4351
809	18455	4328
810	18478	4306
811	18500	4283
812	18523	4260
813	18545	4237
